float-col,integer-col,string-col,extra-string-col,extra-integer-col
43.35,2775,Spencer,Eugene,Portugal
31.02,9541,Harris,Gerald,Honduras
94.64,3346,Dean,Michael,Mali
94.08,9354,Garza,Lois,United States
45.61,5571,Simmons,Eugene,Portugal
35.2,5332,Griffin,Paul,Brazil
54.97,2589,Wright,Alan,Benin
40.42,9736,Chavez,Jason,Poland
4.8,9112,Grant,Sharon,Russia
46.13,4103,Foster,Ashley,Portugal
95.73,2928,Chapman,Irene,Indonesia
78.91,2414,Burns,Kevin,China
68.08,3041,Evans,Andrew,Portugal
10.62,8900,Hicks,Katherine,Brazil
48.84,9787,Patterson,Samuel,Ukraine
60.54,1681,Hudson,Craig,Indonesia
68.05,1294,Washington,Ruby,Kazakhstan
20.52,18,Peterson,Jane,China
48.38,2698,Miller,Joyce,Philippines
29.19,3821,Bell,Gary,United States
27.84,3301,Little,Janet,Portugal
75.72,7610,Wood,Joshua,Portugal
56.42,7665,Barnes,Roy,Sri Lanka
68.98,3989,Robinson,Michelle,Vietnam
71.63,2054,Johnston,Ronald,Portugal
45.36,6296,Price,Charles,Portugal
67.17,3626,Coleman,Frank,China
43.43,1644,Carter,Joe,Portugal
97.6,2183,Cook,Harry,Indonesia
59.6,7197,Matthews,Roy,China
72.36,5642,Elliott,Willie,Ukraine
34.02,9610,Johnson,Judy,Indonesia
91.05,5015,Sanders,Martha,Indonesia
42.36,1286,Graham,Lawrence,France
20.93,9688,Jordan,Annie,Afghanistan
52.74,903,Riley,Anne,Afghanistan
7.81,4936,Lawrence,Linda,Poland
44.7,2898,Walker,Scott,Portugal
23.97,9669,Fisher,Irene,Poland
3.16,4485,Simmons,Diana,Armenia
65.49,9151,Smith,Phyllis,Peru
1.17,8243,Moore,Thomas,China
69.35,6573,Brooks,Michelle,Portugal
64.35,3183,Garza,Nancy,United States
87.71,7138,Edwards,Walter,China
15.95,131,Ortiz,Joseph,United States
56.51,3709,Kelly,Diane,Portugal
98.39,2114,Hart,Sharon,Philippines
84.8,3484,Gilbert,Jack,Ireland
70.53,1002,Brown,Victor,Portugal
82.19,5012,Jones,Jerry,Uzbekistan
71.9,9557,Ford,Joseph,Philippines
41.35,7498,Gardner,Andrew,Comoros
95.99,4480,Walker,Joshua,Portugal
81.32,3039,Wallace,Peter,Portugal
43.82,599,Flores,Helen,Zimbabwe
26.05,6844,Howard,Susan,China
29.79,9234,Shaw,Bobby,China
70.08,6453,Sanders,Anne,Bolivia
80.13,8695,Richards,Kelly,France
79.54,2152,Franklin,Robert,Portugal
93.66,6566,Ray,Gregory,United States
92.5,4377,Bradley,William,Portugal
90.24,5304,Patterson,Kathleen,China
33.6,1843,Martinez,Wanda,Spain
87.38,6888,Phillips,Louise,Portugal
69.04,1400,Howard,Lori,Russia
59.61,4772,Larson,Marilyn,Portugal
55.32,305,Ryan,Justin,Thailand
80.48,728,Bryant,Mark,Portugal
87.77,952,Andrews,Ruby,Brazil
89.02,8183,Jenkins,Thomas,Ivory Coast
1.3,7822,Baker,Alan,Portugal
62.02,8269,Franklin,Marie,Indonesia
99.18,5070,Harris,Scott,Mauritius
53.39,2425,Romero,Irene,Brazil
61.96,7794,Johnston,Robin,Portugal
33.85,586,Roberts,Angela,Nigeria
76.76,2491,Watkins,John,Finland
82.06,1859,Cook,Lois,Indonesia
56.32,8147,Pierce,Katherine,France
49.09,341,Warren,Pamela,Portugal
77.84,8641,Murray,Diane,Portugal
45.68,6631,Matthews,Bobby,Czech Republic
85.74,331,Wallace,Judy,Portugal
48.46,3470,Anderson,Kathy,France
81.25,4085,Fisher,Randy,Russia
3.66,6271,Roberts,Louise,Portugal
74.15,140,Alvarez,Margaret,Philippines
96.32,1546,Bailey,Patricia,Aruba
14.49,4911,Fox,Rose,South Africa
57.54,1336,Campbell,Fred,Slovenia
31.65,8361,Moore,Katherine,Indonesia
27.55,1205,Myers,Susan,Portugal
56.49,8129,Arnold,Roy,Portugal
27.1,27,Richards,Jeffrey,Indonesia
93.51,9702,Morris,Steven,China
29.34,7595,Marshall,Janet,France
51.54,709,Meyer,Carl,France
16.53,4558,Richardson,Diana,Czech Republic
81.04,3021,Hunter,Jennifer,Egypt
61.35,5867,Rivera,Anna,Thailand
37.64,3229,Lopez,Margaret,Portugal
50.62,9583,Carr,Ernest,Indonesia
31.17,9943,Hughes,Marilyn,Malaysia
93.36,8240,Peterson,Eric,Republic of the Congo
64.89,7128,Watkins,Harold,Sweden
31.48,9493,Hall,Jonathan,France
41.45,8808,Fox,Jonathan,Italy
51.5,6823,Harris,Lois,China
83.86,244,Stone,Helen,Indonesia
85.76,5373,Morales,Howard,Indonesia
22.73,8800,Wood,Tina,Portugal
45.79,3984,Reed,Johnny,Portugal
5.57,523,Butler,Sara,Russia
10.26,2831,Kennedy,Carlos,Portugal
46.23,6022,Nguyen,Jacqueline,Peru
94.2,3505,Grant,Todd,France
92.9,6127,Medina,Michelle,Portugal
86.85,8065,Hall,Scott,Portugal
19.65,1523,Roberts,Emily,Portugal
43.87,6328,Gutierrez,Harold,Portugal
50.73,7367,Coleman,Deborah,Portugal
89.86,3043,Ruiz,Betty,China
60.93,6842,Medina,Sandra,Portugal
15.61,7987,Patterson,Jonathan,Sweden
4.83,167,Lopez,Tina,Brazil
84.77,1373,Hernandez,Harold,China
6.98,1954,Phillips,Anthony,Brazil
47.78,2312,Dunn,Julia,Portugal
27.08,7378,Porter,Teresa,Portugal
20,1466,Diaz,Melissa,Ireland
11.23,7231,Morris,Henry,Portugal
4.59,3864,Mccoy,Louise,Portugal
68.47,9638,Mitchell,Marie,Poland
38,8942,Harris,Henry,Chile
59.3,4735,Ward,Jeremy,Russia
55.27,8392,Garza,Anthony,China
82.55,4383,Romero,Helen,Argentina
98.4,7202,Garcia,Willie,Portugal
60.82,5576,Fowler,Johnny,Portugal
11.22,850,Harris,Louis,Indonesia
61.3,444,Jacobs,Diana,Guatemala
74.38,3561,Burns,Daniel,Russia
29.7,6712,Bryant,Katherine,China
30.66,7039,Wallace,Jeffrey,United States
9.13,2459,Richardson,Joe,Poland
50.77,1267,Richardson,Eugene,Portugal
69.3,8732,Ray,Bruce,Hong Kong
37.8,4455,Webb,Shirley,China
69.79,4655,Russell,Dorothy,Finland
36.85,5793,Fuller,Janet,Russia
4.65,9696,Ellis,Chris,Indonesia
30.23,2884,Schmidt,Albert,Venezuela
85.79,1557,Jordan,Jeffrey,Portugal
73.87,7119,Schmidt,Judith,Nigeria
85.81,2146,Rodriguez,Virginia,Portugal
62.19,2669,Greene,Ralph,Poland
18.69,2639,Schmidt,Alice,China
87,1168,Willis,Patrick,Peru
58.32,7491,Bishop,Arthur,Portugal
29.68,3137,Edwards,Joan,Peru
61.72,1134,Austin,Eric,Grenada
41.75,1575,Willis,Steven,Portugal
1.65,3171,Coleman,Gary,France
44.11,4472,Olson,Betty,China
10.33,135,Vasquez,Douglas,Russia
6.39,1400,Simmons,Cynthia,Poland
67.25,9618,Garrett,Christopher,Brazil
57.17,4594,Young,Lori,Afghanistan
99.03,2873,Garza,Mark,Italy
58.02,1140,Evans,Laura,China
92.52,3474,Reed,Tammy,North Korea
69.46,6740,Ray,Heather,Russia
83.85,5414,Dunn,David,Portugal
60.6,6993,Bowman,Evelyn,Brazil
97.74,5065,Black,Arthur,United States
94.84,9910,Anderson,Sara,Zambia
15.07,6129,Cunningham,Phyllis,Mexico
95.48,6604,Medina,Jack,China
73.83,543,Edwards,Keith,Brazil
9,7326,Torres,Justin,Finland
15.06,3092,Russell,Phillip,China
58.09,5709,Elliott,Jerry,China
90.99,6249,Martinez,Phyllis,Cuba
57.12,9169,Fowler,Harold,Albania
93.05,569,Patterson,Joseph,Indonesia
32.33,5266,Mcdonald,Richard,Indonesia
46.97,709,Fuller,Steven,China
35.41,6869,Moore,Steve,Afghanistan
37.73,6203,Reid,Lois,Portugal
44.98,3697,Parker,Jennifer,Portugal
57.18,7460,Walker,Phillip,China
31.14,8267,Gibson,Norma,Indonesia
66.42,4779,Hansen,Edward,Finland
22.24,8219,White,Gloria,Indonesia
53.06,1451,Flores,Mark,Colombia
90.03,4196,Armstrong,Aaron,Nigeria
80.47,1367,Hunter,Patricia,Indonesia
35.96,5747,Fisher,Gloria,United States
59.93,669,Hernandez,Donald,Portugal
78.03,5563,Adams,Charles,Russia
24.48,3755,Dunn,Keith,Indonesia
26.99,6564,Kelley,Benjamin,Indonesia
14.94,7522,White,Christine,North Korea
36.25,5570,Spencer,Karen,Indonesia
81.8,2398,Patterson,Raymond,United States
47.08,6923,Chapman,Virginia,Indonesia
11.45,6163,Cox,Janice,Philippines
9.45,7898,Phillips,Emily,Ukraine
98.68,5591,Meyer,Dennis,Macedonia
52.22,5995,Grant,Catherine,Poland
16.79,8024,Burns,Kathleen,China
85.08,3689,Carpenter,Eugene,Azerbaijan
14.51,9779,Nichols,Virginia,China
75.14,2064,Gardner,Lois,France
7.82,6882,Griffin,Tammy,Russia
4.13,8006,Ellis,Kenneth,Norway
30.12,5861,Harris,Richard,Portugal
80.08,5900,Myers,Bobby,France
66.1,2119,Matthews,Joseph,China
78.45,3771,Rodriguez,Ronald,Indonesia
42.23,4595,Torres,Benjamin,China
85.22,1166,Boyd,Aaron,Nigeria
74.58,7135,Rose,Robin,Portugal
20.13,5945,Martinez,Beverly,Portugal
16.36,729,Morris,Helen,Portugal
59.04,6469,Green,Dorothy,Greece
34.91,3084,George,Marilyn,Japan
94.11,8143,Berry,Harry,Portugal
92,388,Flores,Fred,Japan
58.06,3015,Allen,Albert,Portugal
85.1,615,Gilbert,Mary,Brazil
91.02,4733,Clark,Ryan,Colombia
91.6,1337,Powell,Thomas,China
36.56,2992,Fernandez,Alice,Nepal
89.31,1454,Henry,Jack,Norway
67.46,2813,Reed,Jennifer,China
40.72,9078,Johnston,Evelyn,Portugal
77.52,8141,Matthews,Shawn,Mexico
74.52,2870,Hart,George,Philippines
5.47,8421,Sanders,Janice,Russia
59.77,4117,Welch,Bonnie,Portugal
26.47,2775,Peters,Debra,China
2.36,187,Ellis,Karen,Yemen
55.79,3283,Howell,Jimmy,Portugal
44.98,9434,Cox,Diana,Armenia
27.43,181,Williams,Walter,Bulgaria
88.4,7975,Scott,George,Brazil
63.67,7598,Gutierrez,Phillip,Indonesia
41.74,6706,Porter,Carl,Indonesia
84.55,4231,Berry,Kevin,Colombia
95.58,7464,King,Raymond,Ethiopia
63.68,3896,Graham,Harold,Poland
79.22,696,Evans,Katherine,Burkina Faso
10.35,9163,Wright,Scott,Portugal
86.89,5425,Palmer,Teresa,China
54.99,9479,Cunningham,Anthony,Portugal
47.04,4278,Burns,George,Poland
18.09,5204,Simpson,Lillian,Nigeria
70.98,8477,Torres,Albert,Portugal
42.01,3998,Frazier,Tammy,Indonesia
64.78,62,Coleman,George,Portugal
93.45,7627,Richards,Judith,Russia
30.01,2546,Jacobs,Tammy,Panama
58.2,3562,Mendoza,Jerry,China
91.44,5033,Martinez,Alice,Canada
6.71,3528,Martin,Peter,China
23.32,2784,Ortiz,Sean,Indonesia
19.15,8744,Burke,Jimmy,Russia
26.11,9700,Hunter,Annie,Belgium
83.11,9021,Edwards,Steven,Portugal
64.29,5119,Duncan,Daniel,France
54.07,6758,Rivera,Cheryl,Israel
25.45,2984,Nguyen,Phyllis,Portugal
38.64,573,Warren,Carolyn,Czech Republic
5.19,2680,Alexander,Matthew,Portugal
30.39,3631,Wells,Janice,Paraguay
37.12,6155,Collins,Brandon,Canada
29.29,5614,Lopez,Antonio,Cuba
88.45,4561,Cruz,Douglas,Portugal
24.24,9019,Hanson,Laura,Cameroon
19.37,5902,Pierce,Alice,Honduras
88.13,7309,Stewart,Pamela,Portugal
62.77,7305,Mccoy,Rebecca,Philippines
79.98,8060,Hernandez,Steven,Finland
26.72,5864,Henry,Samuel,Indonesia
14.44,4119,Johnson,Donald,China
81.49,7076,Lopez,Melissa,Afghanistan
29.01,9336,Sanchez,Christina,Uzbekistan
30.65,3161,Fox,Heather,Kazakhstan
47.38,4898,Garrett,Gerald,Colombia
30.84,6060,Lawson,Brandon,United States
60.08,283,Kelly,Betty,Iran
8.67,5165,Thomas,Gloria,Pakistan
72.73,8091,Barnes,Beverly,Portugal
41.55,9814,Diaz,Sarah,Portugal
95.91,2367,Williams,Janice,Indonesia
51.94,733,Moore,Wanda,China
63.13,3558,Rivera,John,Sweden
38.17,5146,Gordon,Mary,Kenya
12.92,4290,Nelson,Walter,Vietnam
48.49,7863,Wright,Janice,Honduras
41.98,2100,Cunningham,Terry,Philippines
59.32,4081,Cox,Louis,Poland
85.71,6836,Medina,Gerald,Portugal
84.17,3435,Berry,Beverly,China
54.24,3453,Rice,Debra,Iran
1.43,3722,Flores,Jack,China
91.79,5227,Bradley,Kathryn,Portugal
87.13,2943,Hunt,Jessica,Palestinian Territory
36.76,981,Elliott,Lillian,Russia
29.45,2913,Martinez,Jacqueline,Portugal
95.87,2314,Cooper,Ruby,China
88.82,3994,Woods,Todd,Russia
52.38,478,Morgan,Denise,China
99.37,3229,Reid,Frank,China
45.89,9700,Coleman,Stephen,Tajikistan
31.47,4294,Castillo,Paula,Czech Republic
8.94,5836,Smith,Susan,Portugal
56.43,2700,Gordon,Heather,Sweden
31,8069,Alvarez,Frank,Indonesia
43.19,4831,Black,Philip,Indonesia
63.25,2790,Lawrence,Paula,Portugal
81.64,5065,Perry,Diane,Portugal
40.56,2652,Parker,Janet,Canada
67.13,1591,Perkins,Carolyn,Portugal
50.29,24,Lane,Jerry,Zambia
5.24,2131,Myers,Albert,Portugal
4.82,9041,Day,Virginia,Indonesia
79.88,5024,Mendoza,Katherine,China
85.13,3618,Thompson,Fred,France
26.22,7573,Banks,Andrea,Canada
53.53,2823,Palmer,Sandra,Indonesia
1.64,6479,Kelley,Gregory,Peru
68.65,5506,Grant,Dennis,Indonesia
58.63,167,Powell,Christine,Ecuador
19.91,1625,Hanson,Phyllis,Portugal
42.43,2873,Hudson,Jessica,Netherlands
75.42,3458,Montgomery,Andrew,Portugal
6.53,6015,Edwards,Jeremy,Sudan
1.44,6412,Carroll,Jean,Afghanistan
11.8,2565,Thompson,Jean,China
53.74,9561,Hansen,Irene,Poland
71.07,7181,Ross,Kevin,Nigeria
19.22,6929,Kelley,Kimberly,Portugal
11.55,7702,Torres,Robert,Colombia
11.13,9258,Jenkins,Ronald,Portugal
45.07,1504,Fox,Robin,Peru
84.04,3057,Franklin,Eric,Dominican Republic
88.93,1540,Lawson,Gregory,Indonesia
50.54,3623,Matthews,Harry,Portugal
90.35,4689,Holmes,Matthew,Philippines
58.81,718,Sanders,Shawn,Malawi
5.93,4495,Kennedy,Jack,China
24.96,8233,Grant,Heather,China
81.41,5917,Green,Richard,Thailand
58.96,7127,Campbell,Albert,Portugal
49.58,1787,Porter,Alan,Indonesia
15.26,76,Patterson,Raymond,Sweden
26.39,9057,Morrison,Edward,Canada
1.93,1043,Lewis,Cheryl,Indonesia
87.97,3143,Banks,Joshua,Hungary
26.51,1520,Ford,Albert,Poland
89.39,6769,Freeman,Dennis,Indonesia
92.47,3301,Frazier,Doris,Brazil
36.11,4800,Harvey,Charles,Colombia
64.27,3806,Snyder,Howard,Portugal
77.97,6869,Brown,Harold,Norway
29.69,924,Bailey,Janice,Brazil
31.9,6590,Stone,Kimberly,Portugal
37.25,521,Myers,Antonio,Portugal
74.98,8229,Parker,Cheryl,Portugal
57.29,6129,Alvarez,Amanda,Philippines
17.05,8076,Hanson,Annie,Portugal
70.06,6726,Harrison,Terry,Portugal
4.56,804,Scott,Lois,Portugal
71.9,4474,Taylor,Martha,China
9.19,4393,Rose,Ruth,Thailand
20.15,9012,Mitchell,Frank,China
56.1,1152,Hayes,David,Portugal
59.91,7262,Mendoza,Jessica,Portugal
12.01,5039,Carter,Jimmy,China
63.88,3123,White,Ann,Belize
7.33,1971,Pierce,Alice,Portugal
17.51,8352,Henderson,Wanda,Portugal
57.38,970,Hicks,Keith,Russia
7.66,759,Wallace,Gerald,China
24.58,1274,Watson,Jack,Slovenia
95.55,5969,Mills,Carl,Portugal
62.52,616,Howell,Christopher,Nigeria
61.35,539,Hart,Martin,Thailand
37.27,7082,Stephens,Diana,Japan
60.9,2073,Daniels,Anthony,Russia
65.35,369,Ramirez,Edward,Portugal
69.95,1311,Alexander,Eugene,China
53.67,640,Ortiz,Dorothy,Russia
76.08,6244,Reid,Linda,United Kingdom
83.01,2607,Boyd,Lawrence,Luxembourg
43.61,8613,Harper,Lillian,Portugal
17.82,9010,Mcdonald,Larry,Portugal
23.28,9134,Hamilton,Jennifer,Portugal
89.72,3152,Ford,Mildred,Philippines
41.56,3959,Lane,Brandon,China
89.23,2952,Meyer,Samuel,Indonesia
75.39,6604,Ellis,Janice,Portugal
64.85,893,Burke,Tammy,Portugal
93.1,6372,West,Dennis,Portugal
94.79,5615,West,Steve,Cuba
32.6,2585,Morrison,Mary,Brazil
88.37,7302,Price,Anne,Malawi
86.49,906,Powell,Samuel,Portugal
73.56,8663,Kennedy,George,Brazil
19.74,9725,Morgan,Patrick,Japan
50.61,9813,Watson,Jennifer,Russia
37.25,942,Nelson,Jimmy,Indonesia
90.3,1000,Robinson,Shawn,Portugal
16.26,850,Phillips,Theresa,Portugal
47.74,5629,Snyder,Doris,Philippines
90.27,336,Kim,Donald,Portugal
17.72,6454,Burns,Dorothy,Portugal
80.01,3736,Sanchez,Eugene,Indonesia
16.74,7025,Torres,Douglas,China
76.55,984,Garrett,Arthur,Syria
73.72,42,Hernandez,Jennifer,China
86.68,4150,Hart,Ryan,Philippines
75.68,5925,Willis,Kathleen,Russia
31.6,2515,Medina,Jesse,Indonesia
10.66,2964,Daniels,Gregory,Iran
28.16,541,Roberts,Albert,Poland
52.95,3655,Dixon,Janice,Egypt
27.04,8029,West,Robin,Philippines
76.15,5679,Mason,Patricia,Brazil
39.96,737,Wheeler,Angela,Portugal
36.85,4180,Lynch,Sean,China
8.38,3400,Wilson,Terry,Japan
72.77,6804,Boyd,Earl,Russia
7.97,8865,Anderson,Peter,Mozambique
18.11,4114,Williams,Adam,Argentina
96.78,8918,Cole,Adam,Cambodia
81.41,5363,Vasquez,Christine,China
59.08,444,Nguyen,Michelle,Colombia
89.46,6374,Tucker,Carolyn,Portugal
16.87,6292,Flores,Nancy,Poland
74.69,6044,Murray,Paula,Russia
68.48,5980,Day,Eugene,Ivory Coast
43.87,3251,Stewart,Jesse,Tajikistan
24.72,6984,Ferguson,Laura,Portugal
36.63,4001,Matthews,Bonnie,Portugal
91.47,8073,Mcdonald,Ruby,Philippines
54.09,7287,Lopez,Bobby,Azerbaijan
42.44,4259,Elliott,Joan,China
77.05,5704,Jackson,Justin,Philippines
33.04,2029,Berry,Aaron,Russia
94.08,3883,Harper,Jason,Luxembourg
86.2,4233,Warren,Frank,Slovenia
48.14,942,Morrison,Linda,Portugal
36.32,8612,Wheeler,Adam,South Africa
76.94,7551,Lee,Wanda,France
96.01,6178,Hunter,Annie,Thailand
6.01,3183,Harrison,Keith,Indonesia
84.75,1029,Cox,Rose,Portugal
64.39,3613,Black,Susan,Portugal
41.54,2401,Elliott,Diane,Thailand
74.26,9403,Lee,Denise,Brazil
24.3,1431,Ortiz,Larry,Portugal
93.57,6096,Willis,Maria,Canada
29.04,2405,Garrett,Gregory,Brazil
51.7,4990,Olson,Roger,Portugal
27.25,8166,Reed,Joshua,Portugal
17.53,3932,Andrews,Jesse,Serbia
97.29,1257,Fields,Margaret,Mongolia
74.47,9842,Collins,Samuel,China
91.09,8408,Johnston,Daniel,Portugal
3.59,6027,Stewart,Jean,Portugal
95.84,8948,Myers,Margaret,Jordan
71.41,7419,Matthews,Andrea,Poland
44.04,5256,Pierce,Ruby,Portugal
51.07,5138,Wheeler,Mildred,Portugal
85.95,5966,Morris,Sara,China
69,4663,Richardson,Charles,Tajikistan
3.7,2507,Little,Jose,Czech Republic
35.95,3488,Lewis,Billy,China
18.66,4776,Baker,Tammy,Portugal
72.09,526,Foster,Jeffrey,Brazil
47.76,9958,Olson,Sandra,Poland
52.16,9414,Lee,Maria,Russia
73.93,4677,Freeman,Billy,Russia
31.02,6685,Gibson,Shirley,China
2.91,5384,Kim,Sandra,Portugal
42.1,4911,Tucker,Paula,Portugal
36.29,7173,Ray,Jason,Indonesia
21.13,3163,Thompson,Janet,China
89.08,3311,Little,Brandon,Norway
13.11,6374,Reid,Matthew,China
67.18,5516,Carpenter,Justin,Japan
80.22,7700,Allen,Elizabeth,Philippines
90.16,5203,Garza,Thomas,Czech Republic
70.57,5389,Henry,Sara,China
29.2,2282,Cooper,Wayne,Indonesia
79.16,1465,Stewart,Brian,Dominican Republic
5.65,1482,Reed,Joe,Portugal
96.77,150,West,Fred,Portugal
50.94,7076,Jackson,Judy,Brazil
56.74,1329,Brooks,Ann,Sweden
14.52,2805,Collins,Bonnie,Portugal
39.82,7698,Williamson,Evelyn,Israel
99.11,78,Sanders,Bobby,Portugal
18.94,5379,Johnson,Jack,Libya
95.27,3046,Graham,Irene,Georgia
2.4,3255,Robinson,Justin,Indonesia
40.84,8600,Edwards,Margaret,Russia
6.18,3673,Williamson,Steve,Portugal
58.9,58,Rogers,Bonnie,Brazil
38.08,241,Kennedy,Russell,Portugal
89.26,3697,Gardner,Jennifer,Portugal
80,2769,Carr,Anna,Portugal
99.56,4795,Montgomery,Timothy,Palau
90.15,8525,Carter,Maria,Russia
15.7,7666,Perez,Peter,Portugal
5.7,2083,Lewis,Frances,Portugal
66.6,8190,Gilbert,Mary,Portugal
1.97,3402,Gordon,Linda,Indonesia
25.61,9206,Marshall,Edward,China
89.04,8413,Kelly,Heather,Portugal
37.33,8895,Foster,Chris,China
54.41,7760,Morgan,Steve,China
40.76,3238,Fuller,Diane,Portugal
64.79,4071,Mills,Teresa,China
96.04,6360,Hughes,Ruth,China
1.89,1131,Gray,Cheryl,Portugal
16.86,6525,Gray,Jacqueline,Russia
29.88,1837,Powell,Jose,Portugal
47.09,285,Boyd,Beverly,Portugal
54.59,359,Cox,Paul,Portugal
85.91,8804,Boyd,Cheryl,Albania
84.73,7798,Nichols,Clarence,Portugal
4.77,6747,Fields,Nicole,Philippines
64.07,3616,Davis,Alice,Portugal
99.35,7405,Lawson,Lisa,South Korea
45.96,906,Tucker,Joe,Kazakhstan
3.4,1197,Gardner,Roy,Senegal
9.1,5102,Franklin,Alice,Sri Lanka
98.98,4613,Gordon,Louis,Portugal
55.21,6127,Sullivan,Keith,Portugal
12.81,2220,Hansen,Virginia,Kenya
9.65,3356,Butler,Fred,South Korea
37.28,7688,Pierce,George,Portugal
76.54,6992,Mcdonald,Richard,China
34.22,693,Stevens,Katherine,Japan
28.57,3047,Daniels,Christina,Indonesia
80.3,3352,Tucker,Clarence,Tunisia
70.97,4836,King,Roy,Venezuela
24.18,3130,Boyd,Mary,Portugal
15.62,8533,Riley,Helen,France
61.09,2691,Hawkins,Daniel,China
56.41,3597,Carter,Margaret,China
69.06,765,Chapman,Rose,Portugal
79.94,8511,Freeman,Patricia,China
15.8,8709,Sullivan,Kelly,France
14.17,2867,Hawkins,Janet,Spain
90.5,4523,Nelson,Johnny,Latvia
12.26,5514,Wagner,Brandon,Peru
62,2540,Stone,Carlos,Czech Republic
54.88,2491,Andrews,Wayne,Russia
57.24,8619,Simpson,Theresa,Portugal
75.88,6506,Washington,Shirley,China
14.5,400,Wheeler,Arthur,Thailand
87.21,2897,Carroll,Willie,Portugal
49.67,722,Burns,Michael,Czech Republic
5.2,2128,Wagner,Lois,Faroe Islands
25.88,2975,Hall,Jennifer,France
78.13,4722,Hill,Frank,China
44.07,6365,Kim,Patrick,Portugal
59.5,9953,Day,Lois,Honduras
64.07,8805,Grant,Brandon,Indonesia
33.48,7923,Chavez,Teresa,Brazil
18.16,8751,Reynolds,Fred,Papua New Guinea
58.78,2174,Harper,Walter,Portugal
30.4,373,Mccoy,Clarence,Portugal
31.43,1340,Rice,Robert,France
77.12,8873,Banks,Anthony,Portugal
69.76,3806,Austin,Ronald,Portugal
42.71,7002,Franklin,Nicole,Portugal
36.01,1026,Vasquez,Philip,Russia
29.5,4890,Kelly,Ryan,Portugal
27.18,9363,Arnold,Betty,Syria
32.03,8521,Harper,Linda,Portugal
98.86,1254,Long,Lisa,China
87.32,5012,Evans,Christine,Portugal
43.82,2315,Snyder,Samuel,Angola
46.04,7445,Hanson,Lisa,Russia
56.87,2901,Hall,Christina,Kuwait
34.39,3160,Montgomery,Karen,Mexico
26.14,9685,Knight,Ann,Indonesia
66.69,7624,Olson,Daniel,Portugal
